state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-29,Millibars,None,24,100.0,1003.5,1005.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-30,Millibars,None,24,100.0,1004.541667,1006.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-01-31,Millibars,None,24,100.0,1006.291667,1009.0,22,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-01,Millibars,None,24,100.0,1007.958333,1011.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-02,Millibars,None,24,100.0,1005.708333,1009.0,23,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-03,Millibars,None,24,100.0,1013.75,1016.0,10,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-04,Millibars,None,24,100.0,1014.0,1016.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-05,Millibars,None,24,100.0,1008.708333,1011.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-06,Millibars,None,24,100.0,1006.041667,1008.0,7,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-07,Millibars,None,24,100.0,1004.791667,1006.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-08,Millibars,None,24,100.0,1002.791667,1005.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-09,Millibars,None,24,100.0,1004.416667,1006.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-10,Millibars,None,24,100.0,1006.375,1007.0,6,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-11,Millibars,None,24,100.0,1004.666667,1006.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-12,Millibars,None,24,100.0,1005.333333,1007.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-13,Millibars,None,24,100.0,1003.625,1006.0,6,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-14,Millibars,None,24,100.0,998.375,1001.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-15,Millibars,None,24,100.0,999.333333,1001.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-16,Millibars,None,24,100.0,999.416667,1004.0,23,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-17,Millibars,None,24,100.0,1011.041667,1016.0,22,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-18,Millibars,None,24,100.0,1014.041667,1016.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-19,Millibars,None,24,100.0,1009.208333,1012.0,1,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-20,Millibars,None,24,100.0,1002.541667,1006.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-21,Millibars,None,24,100.0,998.458333,1000.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-22,Millibars,None,24,100.0,996.875,998.0,19,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-23,Millibars,None,24,100.0,1002.166667,1006.0,21,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-24,Millibars,None,24,100.0,1007.5,1009.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-25,Millibars,None,24,100.0,1007.708333,1010.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
